statement,label,question,question_with_answer
Elisha Otis lived in the U.S.,1,In which country did Elisha Otis live?,In which country did Elisha Otis live? the U.S.
László Bíró lived in the U.S.,0,In which country did László Bíró live?,In which country did László Bíró live? the U.S.
Valdemar Poulsen lived in Denmark.,1,In which country did Valdemar Poulsen live?,In which country did Valdemar Poulsen live? Denmark.
James Murray Spangler lived in the U.K.,0,In which country did James Murray Spangler live?,In which country did James Murray Spangler live? the U.K.
Joseph Aspdin lived in the U.K.,1,In which country did Joseph Aspdin live?,In which country did Joseph Aspdin live? the U.K.
Hans Berger lived in the U.S.,0,In which country did Hans Berger live?,In which country did Hans Berger live? the U.S.
Philo Farnsworth lived in the U.S.,1,In which country did Philo Farnsworth live?,In which country did Philo Farnsworth live? the U.S.
Ralph Benjamin lived in Italy.,0,In which country did Ralph Benjamin live?,In which country did Ralph Benjamin live? Italy.
Florence Parpart lived in the U.K.,0,In which country did Florence Parpart live?,In which country did Florence Parpart live? the U.K.
Marvin Camras lived in the U.S.,1,In which country did Marvin Camras live?,In which country did Marvin Camras live? the U.S.
Charles Babbage lived in the U.K.,1,In which country did Charles Babbage live?,In which country did Charles Babbage live? the U.K.
Charles Francis Richter lived in France.,0,In which country did Charles Francis Richter live?,In which country did Charles Francis Richter live? France.
Ami Argand lived in Switzerland.,1,In which country did Ami Argand live?,In which country did Ami Argand live? Switzerland.
Kwolek lived in the U.S.,0,In which country did Kwolek live?,In which country did Kwolek live? the U.S.
Richard Gatling lived in the U.K.,0,In which country did Richard Gatling live?,In which country did Richard Gatling live? the U.K.
Luther Simjian lived in Turkey/the U.S.,1,In which country did Luther Simjian live?,In which country did Luther Simjian live? Turkey/the U.S.
Joseph Bramah lived in the U.K.,1,In which country did Joseph Bramah live?,In which country did Joseph Bramah live? the U.K.
Hans Geiger lived in Austria/the U.S.,0,In which country did Hans Geiger live?,In which country did Hans Geiger live? Austria/the U.S.
Alexander Graham Bell lived in Scotland/Canada/the U.S.,1,In which country did Alexander Graham Bell live?,In which country did Alexander Graham Bell live? Scotland/Canada/the U.S.
Blaise Pascal lived in Poland/France.,0,In which country did Blaise Pascal live?,In which country did Blaise Pascal live? Poland/France.
Charles Macintosh lived in the U.K.,1,In which country did Charles Macintosh live?,In which country did Charles Macintosh live? the U.K.
Narinder Singh Kapany lived in the U.K.,0,In which country did Narinder Singh Kapany live?,In which country did Narinder Singh Kapany live? the U.K.
Bette Nesmith Graham lived in the U.S.,1,In which country did Bette Nesmith Graham live?,In which country did Bette Nesmith Graham live? the U.S.
Édouard-Léon Scott de Martinville lived in the U.K.,0,In which country did Édouard-Léon Scott de Martinville live?,In which country did Édouard-Léon Scott de Martinville live? the U.K.
Orville and Wilbur Wright lived in the U.S.,1,In which country did Orville and Wilbur Wright live?,In which country did Orville and Wilbur Wright live? the U.S.
Richard Leach Maddox lived in Austria.,0,In which country did Richard Leach Maddox live?,In which country did Richard Leach Maddox live? Austria.
Hans Oersted lived in the U.S.,0,In which country did Hans Oersted live?,In which country did Hans Oersted live? the U.S.
Charles Cros lived in the U.S.,0,In which country did Charles Cros live?,In which country did Charles Cros live? the U.S.
R. Buckminster Fuller lived in Scotland.,0,In which country did R. Buckminster Fuller live?,In which country did R. Buckminster Fuller live? Scotland.
Willis Carrier lived in Italy.,0,In which country did Willis Carrier live?,In which country did Willis Carrier live? Italy.
Charles Cros lived in France.,1,In which country did Charles Cros live?,In which country did Charles Cros live? France.
Thomas Savery lived in the U.K.,1,In which country did Thomas Savery live?,In which country did Thomas Savery live? the U.K.
Bartolomeo Cristofori lived in Italy.,1,In which country did Bartolomeo Cristofori live?,In which country did Bartolomeo Cristofori live? Italy.
Louis Pasteur lived in France.,1,In which country did Louis Pasteur live?,In which country did Louis Pasteur live? France.
Frederick G. Creed lived in Sweden.,0,In which country did Frederick G. Creed live?,In which country did Frederick G. Creed live? Sweden.
Alexander Fleming lived in France.,0,In which country did Alexander Fleming live?,In which country did Alexander Fleming live? France.
Florence Parpart lived in the U.S.,1,In which country did Florence Parpart live?,In which country did Florence Parpart live? the U.S.
Henri Giffard lived in the U.S.,0,In which country did Henri Giffard live?,In which country did Henri Giffard live? the U.S.
Paul Gottlieb Nipkow lived in Germany.,1,In which country did Paul Gottlieb Nipkow live?,In which country did Paul Gottlieb Nipkow live? Germany.
Hippolyte Mège-Mouriès lived in the U.S.,0,In which country did Hippolyte Mège-Mouriès live?,In which country did Hippolyte Mège-Mouriès live? the U.S.
Josephine Cochrane lived in the U.S.,1,In which country did Josephine Cochrane live?,In which country did Josephine Cochrane live? the U.S.
Mary Anderson lived in the U.S.,1,In which country did Mary Anderson live?,In which country did Mary Anderson live? the U.S.
Otis Boykin lived in France.,0,In which country did Otis Boykin live?,In which country did Otis Boykin live? France.
John Callcott Horsley lived in the U.K.,1,In which country did John Callcott Horsley live?,In which country did John Callcott Horsley live? the U.K.
Jack Kilby lived in the U.S.,1,In which country did Jack Kilby live?,In which country did Jack Kilby live? the U.S.
Samuel Fox lived in the U.K.,1,In which country did Samuel Fox live?,In which country did Samuel Fox live? the U.K.
Hans Berger lived in Germany.,1,In which country did Hans Berger live?,In which country did Hans Berger live? Germany.
Ernest Swinton lived in the U.S.,0,In which country did Ernest Swinton live?,In which country did Ernest Swinton live? the U.S.
André-Jacques Garnerin lived in France.,1,In which country did André-Jacques Garnerin live?,In which country did André-Jacques Garnerin live? France.
Alexander Fleming lived in the U.K.,1,In which country did Alexander Fleming live?,In which country did Alexander Fleming live? the U.K.
Hans Goldschmidt lived in the Netherlands.,0,In which country did Hans Goldschmidt live?,In which country did Hans Goldschmidt live? the Netherlands.
Willem Einthoven lived in France.,0,In which country did Willem Einthoven live?,In which country did Willem Einthoven live? France.
Garrett Morgan lived in the U.S.,1,In which country did Garrett Morgan live?,In which country did Garrett Morgan live? the U.S.
Richard Trevithick lived in the U.S.,0,In which country did Richard Trevithick live?,In which country did Richard Trevithick live? the U.S.
Georges Claude lived in Italy.,0,In which country did Georges Claude live?,In which country did Georges Claude live? Italy.
Sir Isaac Newton lived in the U.K.,1,In which country did Sir Isaac Newton live?,In which country did Sir Isaac Newton live? the U.K.
William Kelly lived in the U.S.,1,In which country did William Kelly live?,In which country did William Kelly live? the U.S.
Thomas Wedgwood lived in Finland.,0,In which country did Thomas Wedgwood live?,In which country did Thomas Wedgwood live? Finland.
Nils Bohlin lived in Germany.,0,In which country did Nils Bohlin live?,In which country did Nils Bohlin live? Germany.
Albert Ghiorso lived in the U.S.,1,In which country did Albert Ghiorso live?,In which country did Albert Ghiorso live? the U.S.
George de Mestral lived in Switzerland.,1,In which country did George de Mestral live?,In which country did George de Mestral live? Switzerland.
Carlos Glidden lived in the U.S.,1,In which country did Carlos Glidden live?,In which country did Carlos Glidden live? the U.S.
William Congreve lived in the U.K.,1,In which country did William Congreve live?,In which country did William Congreve live? the U.K.
John Logie Baird lived in Japan.,0,In which country did John Logie Baird live?,In which country did John Logie Baird live? Japan.
Edouard Benedictus lived in the U.S.,0,In which country did Edouard Benedictus live?,In which country did Edouard Benedictus live? the U.S.
Alec Jeffreys lived in France.,0,In which country did Alec Jeffreys live?,In which country did Alec Jeffreys live? France.
Arthur Pitney lived in the U.S.,1,In which country did Arthur Pitney live?,In which country did Arthur Pitney live? the U.S.
Giovanni Caselli lived in the U.S.,0,In which country did Giovanni Caselli live?,In which country did Giovanni Caselli live? the U.S.
John Gorrie lived in the U.S.,1,In which country did John Gorrie live?,In which country did John Gorrie live? the U.S.
Robert Chesebrough lived in the U.S.,1,In which country did Robert Chesebrough live?,In which country did Robert Chesebrough live? the U.S.
Johannes Gutenberg lived in the U.K.,0,In which country did Johannes Gutenberg live?,In which country did Johannes Gutenberg live? the U.K.
Maria Telkes lived in Hungary.,0,In which country did Maria Telkes live?,In which country did Maria Telkes live? Hungary.
Yoshiro Nakamatsu lived in the U.S.,0,In which country did Yoshiro Nakamatsu live?,In which country did Yoshiro Nakamatsu live? the U.S.
Chester Carlson lived in the U.S.,1,In which country did Chester Carlson live?,In which country did Chester Carlson live? the U.S.
George Pullman lived in the U.S.,1,In which country did George Pullman live?,In which country did George Pullman live? the U.S.
George Cayley lived in the U.K.,1,In which country did George Cayley live?,In which country did George Cayley live? the U.K.
John Bardeen lived in the U.S.,1,In which country did John Bardeen live?,In which country did John Bardeen live? the U.S.
Orville and Wilbur Wright lived in France.,0,In which country did Orville and Wilbur Wright live?,In which country did Orville and Wilbur Wright live? France.
Archimedes lived in the U.S.,0,In which country did Archimedes live?,In which country did Archimedes live? the U.S.
Johannes Gutenberg lived in Germany.,1,In which country did Johannes Gutenberg live?,In which country did Johannes Gutenberg live? Germany.
George Eastman lived in the U.S.,1,In which country did George Eastman live?,In which country did George Eastman live? the U.S.
Hans Lippershey lived in the Netherlands.,1,In which country did Hans Lippershey live?,In which country did Hans Lippershey live? the Netherlands.
Carl Elsener lived in the U.S.,0,In which country did Carl Elsener live?,In which country did Carl Elsener live? the U.S.
John Boyd Dunlop lived in France.,0,In which country did John Boyd Dunlop live?,In which country did John Boyd Dunlop live? France.
Heinrich Hertz lived in Germany.,1,In which country did Heinrich Hertz live?,In which country did Heinrich Hertz live? Germany.
Leonardo da Vinci lived in Italy.,1,In which country did Leonardo da Vinci live?,In which country did Leonardo da Vinci live? Italy.
Nikolai Basov lived in the Soviet Union.,1,In which country did Nikolai Basov live?,In which country did Nikolai Basov live? the Soviet Union.
Wilhelm Conrad Röntgen lived in the U.S.,0,In which country did Wilhelm Conrad Röntgen live?,In which country did Wilhelm Conrad Röntgen live? the U.S.
Guglielmo Marconi lived in Italy.,1,In which country did Guglielmo Marconi live?,In which country did Guglielmo Marconi live? Italy.
Christian Huygens lived in the Netherlands.,1,In which country did Christian Huygens live?,In which country did Christian Huygens live? the Netherlands.
Robert Adler lived in the U.K.,0,In which country did Robert Adler live?,In which country did Robert Adler live? the U.K.
John Walker lived in the U.S.,0,In which country did John Walker live?,In which country did John Walker live? the U.S.
Grace Hopper lived in the U.K.,0,In which country did Grace Hopper live?,In which country did Grace Hopper live? the U.K.
James West lived in the U.S.,1,In which country did James West live?,In which country did James West live? the U.S.
Charles Townes lived in Russia.,0,In which country did Charles Townes live?,In which country did Charles Townes live? Russia.
Sir Frank Whittle lived in the U.K.,1,In which country did Sir Frank Whittle live?,In which country did Sir Frank Whittle live? the U.K.
John Ambrose Fleming lived in the U.K.,1,In which country did John Ambrose Fleming live?,In which country did John Ambrose Fleming live? the U.K.
Gottlieb Daimler lived in Germany.,1,In which country did Gottlieb Daimler live?,In which country did Gottlieb Daimler live? Germany.
Frederick McKinley Jones lived in Japan.,0,In which country did Frederick McKinley Jones live?,In which country did Frederick McKinley Jones live? Japan.
William Sturgeon lived in Germany.,0,In which country did William Sturgeon live?,In which country did William Sturgeon live? Germany.
Igor Tamm lived in the U.S.,0,In which country did Igor Tamm live?,In which country did Igor Tamm live? the U.S.
Frank Julian Sprague lived in the U.S.,1,In which country did Frank Julian Sprague live?,In which country did Frank Julian Sprague live? the U.S.
George Antheil lived in the U.S.,1,In which country did George Antheil live?,In which country did George Antheil live? the U.S.
William Kelly lived in France.,0,In which country did William Kelly live?,In which country did William Kelly live? France.
Alva J. Fisher lived in the U.S.,1,In which country did Alva J. Fisher live?,In which country did Alva J. Fisher live? the U.S.
Louis Pasteur lived in the U.S.,0,In which country did Louis Pasteur live?,In which country did Louis Pasteur live? the U.S.
Thomas Edison lived in the U.S.,1,In which country did Thomas Edison live?,In which country did Thomas Edison live? the U.S.
Joseph Glidden lived in Germany.,0,In which country did Joseph Glidden live?,In which country did Joseph Glidden live? Germany.
Tim Berners-Lee lived in Germany.,0,In which country did Tim Berners-Lee live?,In which country did Tim Berners-Lee live? Germany.
Carl Wilhelm Siemens lived in Germany.,1,In which country did Carl Wilhelm Siemens live?,In which country did Carl Wilhelm Siemens live? Germany.
Ralph Benjamin lived in the U.K.,1,In which country did Ralph Benjamin live?,In which country did Ralph Benjamin live? the U.K.
George Devol lived in the U.S.,1,In which country did George Devol live?,In which country did George Devol live? the U.S.
Igor Tamm lived in Russia.,1,In which country did Igor Tamm live?,In which country did Igor Tamm live? Russia.
Philipp Reis lived in Germany.,1,In which country did Philipp Reis live?,In which country did Philipp Reis live? Germany.
Edmund Cartwright lived in the U.K.,1,In which country did Edmund Cartwright live?,In which country did Edmund Cartwright live? the U.K.
Heinrich Göbel lived in the U.S.,0,In which country did Heinrich Göbel live?,In which country did Heinrich Göbel live? the U.S.
Yoshua Bengio lived in the U.S.,0,In which country did Yoshua Bengio live?,In which country did Yoshua Bengio live? the U.S.
John Kay lived in the U.S.,0,In which country did John Kay live?,In which country did John Kay live? the U.S.
Marie Curie lived in Poland/France.,1,In which country did Marie Curie live?,In which country did Marie Curie live? Poland/France.
Mary Phelps Jacob lived in the U.S.,1,In which country did Mary Phelps Jacob live?,In which country did Mary Phelps Jacob live? the U.S.
Valdemar Poulsen lived in Scotland.,0,In which country did Valdemar Poulsen live?,In which country did Valdemar Poulsen live? Scotland.
John Harrison lived in the U.K.,1,In which country did John Harrison live?,In which country did John Harrison live? the U.K.
John Ericsson lived in the U.S.,0,In which country did John Ericsson live?,In which country did John Ericsson live? the U.S.
James Starley lived in Sweden/the U.S.,0,In which country did James Starley live?,In which country did James Starley live? Sweden/the U.S.
Charles Tellier lived in the U.K.,0,In which country did Charles Tellier live?,In which country did Charles Tellier live? the U.K.
Fritz Pfleumer lived in Canada/the U.S.,0,In which country did Fritz Pfleumer live?,In which country did Fritz Pfleumer live? Canada/the U.S.
Clyde Tombaugh lived in the U.S.,1,In which country did Clyde Tombaugh live?,In which country did Clyde Tombaugh live? the U.S.
Nicolas Appert lived in Russia.,0,In which country did Nicolas Appert live?,In which country did Nicolas Appert live? Russia.
Felix Hoffmann lived in the U.S.,0,In which country did Felix Hoffmann live?,In which country did Felix Hoffmann live? the U.S.
Joseph Henry lived in the U.S.,1,In which country did Joseph Henry live?,In which country did Joseph Henry live? the U.S.
Alexander Graham Bell lived in Germany.,0,In which country did Alexander Graham Bell live?,In which country did Alexander Graham Bell live? Germany.
Robert Noyce lived in the U.S.,1,In which country did Robert Noyce live?,In which country did Robert Noyce live? the U.S.
Charles Francis Richter lived in the U.S.,1,In which country did Charles Francis Richter live?,In which country did Charles Francis Richter live? the U.S.
Hans Oersted lived in Denmark.,1,In which country did Hans Oersted live?,In which country did Hans Oersted live? Denmark.
Nils Bohlin lived in Sweden.,1,In which country did Nils Bohlin live?,In which country did Nils Bohlin live? Sweden.
Alec Jeffreys lived in the U.K.,1,In which country did Alec Jeffreys live?,In which country did Alec Jeffreys live? the U.K.
John T. Parsons lived in the U.S.,1,In which country did John T. Parsons live?,In which country did John T. Parsons live? the U.S.
Otis Boykin lived in the U.S.,1,In which country did Otis Boykin live?,In which country did Otis Boykin live? the U.S.
Charles Strite lived in the U.S.,1,In which country did Charles Strite live?,In which country did Charles Strite live? the U.S.
