statement,label,question,question_with_answer
Fluorine has the symbol F.,1,Which symbol does Fluorine have?,Which symbol does Fluorine have? F.
Vanadium has the symbol V.,1,Which symbol does Vanadium have?,Which symbol does Vanadium have? V.
Thallium has the symbol Sr.,0,Which symbol does Thallium have?,Which symbol does Thallium have? Sr.
Samarium has the symbol Pr.,0,Which symbol does Samarium have?,Which symbol does Samarium have? Pr.
Hydrogen has the symbol Pt.,0,Which symbol does Hydrogen have?,Which symbol does Hydrogen have? Pt.
Neptunium has the symbol Na.,0,Which symbol does Neptunium have?,Which symbol does Neptunium have? Na.
Platinum has the symbol La.,0,Which symbol does Platinum have?,Which symbol does Platinum have? La.
Tin has the symbol Be.,0,Which symbol does Tin have?,Which symbol does Tin have? Be.
Thorium has the symbol Th.,1,Which symbol does Thorium have?,Which symbol does Thorium have? Th.
Samarium has the symbol Sm.,1,Which symbol does Samarium have?,Which symbol does Samarium have? Sm.
Hydrogen has the symbol H.,1,Which symbol does Hydrogen have?,Which symbol does Hydrogen have? H.
Silicon has the symbol Si.,1,Which symbol does Silicon have?,Which symbol does Silicon have? Si.
Barium has the symbol Ba.,1,Which symbol does Barium have?,Which symbol does Barium have? Ba.
Lanthanum has the symbol La.,1,Which symbol does Lanthanum have?,Which symbol does Lanthanum have? La.
Cerium has the symbol Ce.,1,Which symbol does Cerium have?,Which symbol does Cerium have? Ce.
Silicon has the symbol Rn.,0,Which symbol does Silicon have?,Which symbol does Silicon have? Rn.
Lanthanum has the symbol Po.,0,Which symbol does Lanthanum have?,Which symbol does Lanthanum have? Po.
Molybdenum has the symbol Mo.,1,Which symbol does Molybdenum have?,Which symbol does Molybdenum have? Mo.
Gadolinium has the symbol Hg.,0,Which symbol does Gadolinium have?,Which symbol does Gadolinium have? Hg.
Hafnium has the symbol Nd.,0,Which symbol does Hafnium have?,Which symbol does Hafnium have? Nd.
Arsenic has the symbol As.,1,Which symbol does Arsenic have?,Which symbol does Arsenic have? As.
Aluminum has the symbol Al.,1,Which symbol does Aluminum have?,Which symbol does Aluminum have? Al.
Copper has the symbol Cu.,1,Which symbol does Copper have?,Which symbol does Copper have? Cu.
Promethium has the symbol Dy.,0,Which symbol does Promethium have?,Which symbol does Promethium have? Dy.
Holmium has the symbol Tb.,0,Which symbol does Holmium have?,Which symbol does Holmium have? Tb.
Iron has the symbol Fe.,1,Which symbol does Iron have?,Which symbol does Iron have? Fe.
Technetium has the symbol Tc.,1,Which symbol does Technetium have?,Which symbol does Technetium have? Tc.
Technetium has the symbol Ag.,0,Which symbol does Technetium have?,Which symbol does Technetium have? Ag.
Cobalt has the symbol Lu.,0,Which symbol does Cobalt have?,Which symbol does Cobalt have? Lu.
Helium has the symbol Xe.,0,Which symbol does Helium have?,Which symbol does Helium have? Xe.
Nickel has the symbol Rb.,0,Which symbol does Nickel have?,Which symbol does Nickel have? Rb.
Krypton has the symbol Nb.,0,Which symbol does Krypton have?,Which symbol does Krypton have? Nb.
Boron has the symbol Pm.,0,Which symbol does Boron have?,Which symbol does Boron have? Pm.
Copper has the symbol Ta.,0,Which symbol does Copper have?,Which symbol does Copper have? Ta.
Titanium has the symbol B.,0,Which symbol does Titanium have?,Which symbol does Titanium have? B.
Thulium has the symbol Ne.,0,Which symbol does Thulium have?,Which symbol does Thulium have? Ne.
Osmium has the symbol Rn.,0,Which symbol does Osmium have?,Which symbol does Osmium have? Rn.
Neodymium has the symbol Nd.,1,Which symbol does Neodymium have?,Which symbol does Neodymium have? Nd.
Iridium has the symbol Fe.,0,Which symbol does Iridium have?,Which symbol does Iridium have? Fe.
Cesium has the symbol Tc.,0,Which symbol does Cesium have?,Which symbol does Cesium have? Tc.
Dysprosium has the symbol Dy.,1,Which symbol does Dysprosium have?,Which symbol does Dysprosium have? Dy.
Europium has the symbol Ga.,0,Which symbol does Europium have?,Which symbol does Europium have? Ga.
Gadolinium has the symbol Gd.,1,Which symbol does Gadolinium have?,Which symbol does Gadolinium have? Gd.
Helium has the symbol He.,1,Which symbol does Helium have?,Which symbol does Helium have? He.
Radon has the symbol Rn.,1,Which symbol does Radon have?,Which symbol does Radon have? Rn.
Carbon has the symbol In.,0,Which symbol does Carbon have?,Which symbol does Carbon have? In.
Germanium has the symbol Br.,0,Which symbol does Germanium have?,Which symbol does Germanium have? Br.
Tellurium has the symbol O.,0,Which symbol does Tellurium have?,Which symbol does Tellurium have? O.
Lead has the symbol Na.,0,Which symbol does Lead have?,Which symbol does Lead have? Na.
Polonium has the symbol Po.,1,Which symbol does Polonium have?,Which symbol does Polonium have? Po.
Platinum has the symbol Pt.,1,Which symbol does Platinum have?,Which symbol does Platinum have? Pt.
Sulfur has the symbol Cs.,0,Which symbol does Sulfur have?,Which symbol does Sulfur have? Cs.
Radium has the symbol Sm.,0,Which symbol does Radium have?,Which symbol does Radium have? Sm.
Antimony has the symbol Sb.,1,Which symbol does Antimony have?,Which symbol does Antimony have? Sb.
Protactinium has the symbol Ir.,0,Which symbol does Protactinium have?,Which symbol does Protactinium have? Ir.
Astatine has the symbol Mg.,0,Which symbol does Astatine have?,Which symbol does Astatine have? Mg.
Tin has the symbol Sn.,1,Which symbol does Tin have?,Which symbol does Tin have? Sn.
Iodine has the symbol Nb.,0,Which symbol does Iodine have?,Which symbol does Iodine have? Nb.
Terbium has the symbol Ta.,0,Which symbol does Terbium have?,Which symbol does Terbium have? Ta.
Tantalum has the symbol Cs.,0,Which symbol does Tantalum have?,Which symbol does Tantalum have? Cs.
Manganese has the symbol Mn.,1,Which symbol does Manganese have?,Which symbol does Manganese have? Mn.
Radon has the symbol H.,0,Which symbol does Radon have?,Which symbol does Radon have? H.
Lead has the symbol Pb.,1,Which symbol does Lead have?,Which symbol does Lead have? Pb.
Vanadium has the symbol Ba.,0,Which symbol does Vanadium have?,Which symbol does Vanadium have? Ba.
Radium has the symbol Ra.,1,Which symbol does Radium have?,Which symbol does Radium have? Ra.
Nitrogen has the symbol N.,1,Which symbol does Nitrogen have?,Which symbol does Nitrogen have? N.
Scandium has the symbol Sc.,1,Which symbol does Scandium have?,Which symbol does Scandium have? Sc.
