statement,label,city,country,correct_country,question,question_with_answer
The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,In which country is the city of Tokyo located?,In which country is the city of Tokyo located? Japan.
The city of Tokyo is in Pakistan.,0,Tokyo,Pakistan,Japan,In which country is the city of Tokyo located?,In which country is the city of Tokyo located? Pakistan.
The city of Mombasa is in Kenya.,1,Mombasa,Kenya,Kenya,In which country is the city of Mombasa located?,In which country is the city of Mombasa located? Kenya.
The city of Mombasa is in India.,0,Mombasa,India,Kenya,In which country is the city of Mombasa located?,In which country is the city of Mombasa located? India.
The city of Ulsan is in South Korea.,1,Ulsan,South Korea,South Korea,In which country is the city of Ulsan located?,In which country is the city of Ulsan located? South Korea.
The city of Ulsan is in South Africa.,0,Ulsan,South Africa,South Korea,In which country is the city of Ulsan located?,In which country is the city of Ulsan located? South Africa.
The city of Warangal is in India.,1,Warangal,India,India,In which country is the city of Warangal located?,In which country is the city of Warangal located? India.
The city of Warangal is in Yemen.,0,Warangal,Yemen,India,In which country is the city of Warangal located?,In which country is the city of Warangal located? Yemen.
The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India,In which country is the city of Tiruchirappalli located?,In which country is the city of Tiruchirappalli located? India.
The city of Tiruchirappalli is in Iraq.,0,Tiruchirappalli,Iraq,India,In which country is the city of Tiruchirappalli located?,In which country is the city of Tiruchirappalli located? Iraq.
The city of Nowrangapur is in India.,1,Nowrangapur,India,India,In which country is the city of Nowrangapur located?,In which country is the city of Nowrangapur located? India.
The city of Nowrangapur is in Vietnam.,0,Nowrangapur,Vietnam,India,In which country is the city of Nowrangapur located?,In which country is the city of Nowrangapur located? Vietnam.
The city of Sambhaji Nagar is in India.,1,Sambhaji Nagar,India,India,In which country is the city of Sambhaji Nagar located?,In which country is the city of Sambhaji Nagar located? India.
The city of Sambhaji Nagar is in China.,0,Sambhaji Nagar,China,India,In which country is the city of Sambhaji Nagar located?,In which country is the city of Sambhaji Nagar located? China.
The city of Ajmer is in India.,1,Ajmer,India,India,In which country is the city of Ajmer located?,In which country is the city of Ajmer located? India.
The city of Ajmer is in Russia.,0,Ajmer,Russia,India,In which country is the city of Ajmer located?,In which country is the city of Ajmer located? Russia.
The city of Rohini is in India.,1,Rohini,India,India,In which country is the city of Rohini located?,In which country is the city of Rohini located? India.
The city of Rohini is in Russia.,0,Rohini,Russia,India,In which country is the city of Rohini located?,In which country is the city of Rohini located? Russia.
The city of Serang is in Indonesia.,1,Serang,Indonesia,Indonesia,In which country is the city of Serang located?,In which country is the city of Serang located? Indonesia.
The city of Serang is in Poland.,0,Serang,Poland,Indonesia,In which country is the city of Serang located?,In which country is the city of Serang located? Poland.
The city of Niigata is in Japan.,1,Niigata,Japan,Japan,In which country is the city of Niigata located?,In which country is the city of Niigata located? Japan.
The city of Niigata is in Yemen.,0,Niigata,Yemen,Japan,In which country is the city of Niigata located?,In which country is the city of Niigata located? Yemen.
The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco,In which country is the city of Marrakesh located?,In which country is the city of Marrakesh located? Morocco.
The city of Marrakesh is in Malaysia.,0,Marrakesh,Malaysia,Morocco,In which country is the city of Marrakesh located?,In which country is the city of Marrakesh located? Malaysia.
The city of Makati City is in the Philippines.,1,Makati City,the Philippines,the Philippines,In which country is the city of Makati City located?,In which country is the city of Makati City located? the Philippines.
The city of Makati City is in India.,0,Makati City,India,the Philippines,In which country is the city of Makati City located?,In which country is the city of Makati City located? India.
The city of Tirunelveli is in India.,1,Tirunelveli,India,India,In which country is the city of Tirunelveli located?,In which country is the city of Tirunelveli located? India.
The city of Tirunelveli is in China.,0,Tirunelveli,China,India,In which country is the city of Tirunelveli located?,In which country is the city of Tirunelveli located? China.
The city of Thane is in India.,1,Thane,India,India,In which country is the city of Thane located?,In which country is the city of Thane located? India.
The city of Thane is in China.,0,Thane,China,India,In which country is the city of Thane located?,In which country is the city of Thane located? China.
The city of Solapur is in India.,1,Solapur,India,India,In which country is the city of Solapur located?,In which country is the city of Solapur located? India.
The city of Solapur is in the United States.,0,Solapur,the United States,India,In which country is the city of Solapur located?,In which country is the city of Solapur located? the United States.
The city of Najafgarh is in India.,1,Najafgarh,India,India,In which country is the city of Najafgarh located?,In which country is the city of Najafgarh located? India.
The city of Najafgarh is in Brazil.,0,Najafgarh,Brazil,India,In which country is the city of Najafgarh located?,In which country is the city of Najafgarh located? Brazil.
The city of Borivli is in India.,1,Borivli,India,India,In which country is the city of Borivli located?,In which country is the city of Borivli located? India.
The city of Borivli is in Ukraine.,0,Borivli,Ukraine,India,In which country is the city of Borivli located?,In which country is the city of Borivli located? Ukraine.
The city of Zhabei is in China.,1,Zhabei,China,China,In which country is the city of Zhabei located?,In which country is the city of Zhabei located? China.
The city of Zhabei is in Afghanistan.,0,Zhabei,Afghanistan,China,In which country is the city of Zhabei located?,In which country is the city of Zhabei located? Afghanistan.
The city of Liaocheng is in China.,1,Liaocheng,China,China,In which country is the city of Liaocheng located?,In which country is the city of Liaocheng located? China.
The city of Liaocheng is in South Korea.,0,Liaocheng,South Korea,China,In which country is the city of Liaocheng located?,In which country is the city of Liaocheng located? South Korea.
The city of Jiaozhou is in China.,1,Jiaozhou,China,China,In which country is the city of Jiaozhou located?,In which country is the city of Jiaozhou located? China.
The city of Jiaozhou is in Latvia.,0,Jiaozhou,Latvia,China,In which country is the city of Jiaozhou located?,In which country is the city of Jiaozhou located? Latvia.
The city of Guilin is in China.,1,Guilin,China,China,In which country is the city of Guilin located?,In which country is the city of Guilin located? China.
The city of Guilin is in the Dominican Republic.,0,Guilin,the Dominican Republic,China,In which country is the city of Guilin located?,In which country is the city of Guilin located? the Dominican Republic.
The city of Chaozhou is in China.,1,Chaozhou,China,China,In which country is the city of Chaozhou located?,In which country is the city of Chaozhou located? China.
The city of Chaozhou is in South Korea.,0,Chaozhou,South Korea,China,In which country is the city of Chaozhou located?,In which country is the city of Chaozhou located? South Korea.
The city of Panzhihua is in China.,1,Panzhihua,China,China,In which country is the city of Panzhihua located?,In which country is the city of Panzhihua located? China.
The city of Panzhihua is in Iran.,0,Panzhihua,Iran,China,In which country is the city of Panzhihua located?,In which country is the city of Panzhihua located? Iran.
The city of Bucaramanga is in Colombia.,1,Bucaramanga,Colombia,Colombia,In which country is the city of Bucaramanga located?,In which country is the city of Bucaramanga located? Colombia.
The city of Bucaramanga is in Brazil.,0,Bucaramanga,Brazil,Colombia,In which country is the city of Bucaramanga located?,In which country is the city of Bucaramanga located? Brazil.
The city of Niamey is in Niger.,1,Niamey,Niger,Niger,In which country is the city of Niamey located?,In which country is the city of Niamey located? Niger.
The city of Niamey is in China.,0,Niamey,China,Niger,In which country is the city of Niamey located?,In which country is the city of Niamey located? China.
The city of Sokoto is in Nigeria.,1,Sokoto,Nigeria,Nigeria,In which country is the city of Sokoto located?,In which country is the city of Sokoto located? Nigeria.
The city of Sokoto is in South Korea.,0,Sokoto,South Korea,Nigeria,In which country is the city of Sokoto located?,In which country is the city of Sokoto located? South Korea.
The city of Abuja is in Nigeria.,1,Abuja,Nigeria,Nigeria,In which country is the city of Abuja located?,In which country is the city of Abuja located? Nigeria.
The city of Abuja is in China.,0,Abuja,China,Nigeria,In which country is the city of Abuja located?,In which country is the city of Abuja located? China.
The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia,In which country is the city of South Tangerang located?,In which country is the city of South Tangerang located? Indonesia.
The city of South Tangerang is in India.,0,South Tangerang,India,Indonesia,In which country is the city of South Tangerang located?,In which country is the city of South Tangerang located? India.
The city of Odesa is in Ukraine.,1,Odesa,Ukraine,Ukraine,In which country is the city of Odesa located?,In which country is the city of Odesa located? Ukraine.
The city of Odesa is in China.,0,Odesa,China,Ukraine,In which country is the city of Odesa located?,In which country is the city of Odesa located? China.
The city of Fort Worth is in the United States.,1,Fort Worth,the United States,the United States,In which country is the city of Fort Worth located?,In which country is the city of Fort Worth located? the United States.
The city of Fort Worth is in Russia.,0,Fort Worth,Russia,the United States,In which country is the city of Fort Worth located?,In which country is the city of Fort Worth located? Russia.
The city of Boumerdes is in Algeria.,1,Boumerdes,Algeria,Algeria,In which country is the city of Boumerdes located?,In which country is the city of Boumerdes located? Algeria.
The city of Boumerdes is in Iran.,0,Boumerdes,Iran,Algeria,In which country is the city of Boumerdes located?,In which country is the city of Boumerdes located? Iran.
The city of Asmara is in Eritrea.,1,Asmara,Eritrea,Eritrea,In which country is the city of Asmara located?,In which country is the city of Asmara located? Eritrea.
The city of Asmara is in Indonesia.,0,Asmara,Indonesia,Eritrea,In which country is the city of Asmara located?,In which country is the city of Asmara located? Indonesia.
The city of Santiago de Queretaro is in Mexico.,1,Santiago de Queretaro,Mexico,Mexico,In which country is the city of Santiago de Queretaro located?,In which country is the city of Santiago de Queretaro located? Mexico.
The city of Santiago de Queretaro is in Ecuador.,0,Santiago de Queretaro,Ecuador,Mexico,In which country is the city of Santiago de Queretaro located?,In which country is the city of Santiago de Queretaro located? Ecuador.
The city of Perm is in Russia.,1,Perm,Russia,Russia,In which country is the city of Perm located?,In which country is the city of Perm located? Russia.
The city of Perm is in China.,0,Perm,China,Russia,In which country is the city of Perm located?,In which country is the city of Perm located? China.
The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia,In which country is the city of Jeddah located?,In which country is the city of Jeddah located? Saudi Arabia.
The city of Jeddah is in Myanmar.,0,Jeddah,Myanmar,Saudi Arabia,In which country is the city of Jeddah located?,In which country is the city of Jeddah located? Myanmar.
The city of Konya is in Turkey.,1,Konya,Turkey,Turkey,In which country is the city of Konya located?,In which country is the city of Konya located? Turkey.
The city of Konya is in Russia.,0,Konya,Russia,Turkey,In which country is the city of Konya located?,In which country is the city of Konya located? Russia.
The city of Macapa is in Brazil.,1,Macapa,Brazil,Brazil,In which country is the city of Macapa located?,In which country is the city of Macapa located? Brazil.
The city of Macapa is in China.,0,Macapa,China,Brazil,In which country is the city of Macapa located?,In which country is the city of Macapa located? China.
The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil,In which country is the city of Belo Horizonte located?,In which country is the city of Belo Horizonte located? Brazil.
The city of Belo Horizonte is in North Korea.,0,Belo Horizonte,North Korea,Brazil,In which country is the city of Belo Horizonte located?,In which country is the city of Belo Horizonte located? North Korea.
The city of Poznan is in Poland.,1,Poznan,Poland,Poland,In which country is the city of Poznan located?,In which country is the city of Poznan located? Poland.
The city of Poznan is in Mexico.,0,Poznan,Mexico,Poland,In which country is the city of Poznan located?,In which country is the city of Poznan located? Mexico.
The city of Linyi is in China.,1,Linyi,China,China,In which country is the city of Linyi located?,In which country is the city of Linyi located? China.
The city of Linyi is in Iraq.,0,Linyi,Iraq,China,In which country is the city of Linyi located?,In which country is the city of Linyi located? Iraq.
The city of Hohhot is in China.,1,Hohhot,China,China,In which country is the city of Hohhot located?,In which country is the city of Hohhot located? China.
The city of Hohhot is in Indonesia.,0,Hohhot,Indonesia,China,In which country is the city of Hohhot located?,In which country is the city of Hohhot located? Indonesia.
The city of Malacca is in Malaysia.,1,Malacca,Malaysia,Malaysia,In which country is the city of Malacca located?,In which country is the city of Malacca located? Malaysia.
The city of Malacca is in China.,0,Malacca,China,Malaysia,In which country is the city of Malacca located?,In which country is the city of Malacca located? China.
The city of Busan is in South Korea.,1,Busan,South Korea,South Korea,In which country is the city of Busan located?,In which country is the city of Busan located? South Korea.
The city of Busan is in Brazil.,0,Busan,Brazil,South Korea,In which country is the city of Busan located?,In which country is the city of Busan located? Brazil.
The city of Seongnam-si is in South Korea.,1,Seongnam-si,South Korea,South Korea,In which country is the city of Seongnam-si located?,In which country is the city of Seongnam-si located? South Korea.
The city of Seongnam-si is in Russia.,0,Seongnam-si,Russia,South Korea,In which country is the city of Seongnam-si located?,In which country is the city of Seongnam-si located? Russia.
The city of Matsuyama is in Japan.,1,Matsuyama,Japan,Japan,In which country is the city of Matsuyama located?,In which country is the city of Matsuyama located? Japan.
The city of Matsuyama is in Burkina Faso.,0,Matsuyama,Burkina Faso,Japan,In which country is the city of Matsuyama located?,In which country is the city of Matsuyama located? Burkina Faso.
The city of Suwon is in South Korea.,1,Suwon,South Korea,South Korea,In which country is the city of Suwon located?,In which country is the city of Suwon located? South Korea.
The city of Suwon is in Russia.,0,Suwon,Russia,South Korea,In which country is the city of Suwon located?,In which country is the city of Suwon located? Russia.
The city of Incheon is in South Korea.,1,Incheon,South Korea,South Korea,In which country is the city of Incheon located?,In which country is the city of Incheon located? South Korea.
The city of Incheon is in India.,0,Incheon,India,South Korea,In which country is the city of Incheon located?,In which country is the city of Incheon located? India.
The city of Hwaseong-si is in South Korea.,1,Hwaseong-si,South Korea,South Korea,In which country is the city of Hwaseong-si located?,In which country is the city of Hwaseong-si located? South Korea.
The city of Hwaseong-si is in Brazil.,0,Hwaseong-si,Brazil,South Korea,In which country is the city of Hwaseong-si located?,In which country is the city of Hwaseong-si located? Brazil.
The city of Changwon is in South Korea.,1,Changwon,South Korea,South Korea,In which country is the city of Changwon located?,In which country is the city of Changwon located? South Korea.
The city of Changwon is in Indonesia.,0,Changwon,Indonesia,South Korea,In which country is the city of Changwon located?,In which country is the city of Changwon located? Indonesia.
The city of Bamako is in Mali.,1,Bamako,Mali,Mali,In which country is the city of Bamako located?,In which country is the city of Bamako located? Mali.
The city of Bamako is in India.,0,Bamako,India,Mali,In which country is the city of Bamako located?,In which country is the city of Bamako located? India.
The city of Acapulco de Juarez is in Mexico.,1,Acapulco de Juarez,Mexico,Mexico,In which country is the city of Acapulco de Juarez located?,In which country is the city of Acapulco de Juarez located? Mexico.
The city of Acapulco de Juarez is in Morocco.,0,Acapulco de Juarez,Morocco,Mexico,In which country is the city of Acapulco de Juarez located?,In which country is the city of Acapulco de Juarez located? Morocco.
The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq,In which country is the city of Mosul located?,In which country is the city of Mosul located? Iraq.
The city of Mosul is in China.,0,Mosul,China,Iraq,In which country is the city of Mosul located?,In which country is the city of Mosul located? China.
The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq,In which country is the city of Basrah located?,In which country is the city of Basrah located? Iraq.
The city of Basrah is in China.,0,Basrah,China,Iraq,In which country is the city of Basrah located?,In which country is the city of Basrah located? China.
The city of Qom is in Iran.,1,Qom,Iran,Iran,In which country is the city of Qom located?,In which country is the city of Qom located? Iran.
The city of Qom is in Vietnam.,0,Qom,Vietnam,Iran,In which country is the city of Qom located?,In which country is the city of Qom located? Vietnam.
The city of Torreon is in Mexico.,1,Torreon,Mexico,Mexico,In which country is the city of Torreon located?,In which country is the city of Torreon located? Mexico.
The city of Torreon is in India.,0,Torreon,India,Mexico,In which country is the city of Torreon located?,In which country is the city of Torreon located? India.
The city of Beira is in Mozambique.,1,Beira,Mozambique,Mozambique,In which country is the city of Beira located?,In which country is the city of Beira located? Mozambique.
The city of Beira is in India.,0,Beira,India,Mozambique,In which country is the city of Beira located?,In which country is the city of Beira located? India.
The city of Naucalpan de Juarez is in Mexico.,1,Naucalpan de Juarez,Mexico,Mexico,In which country is the city of Naucalpan de Juarez located?,In which country is the city of Naucalpan de Juarez located? Mexico.
The city of Naucalpan de Juarez is in Honduras.,0,Naucalpan de Juarez,Honduras,Mexico,In which country is the city of Naucalpan de Juarez located?,In which country is the city of Naucalpan de Juarez located? Honduras.
The city of Dehra Dun is in India.,1,Dehra Dun,India,India,In which country is the city of Dehra Dun located?,In which country is the city of Dehra Dun located? India.
The city of Dehra Dun is in China.,0,Dehra Dun,China,India,In which country is the city of Dehra Dun located?,In which country is the city of Dehra Dun located? China.
The city of Bhubaneswar is in India.,1,Bhubaneswar,India,India,In which country is the city of Bhubaneswar located?,In which country is the city of Bhubaneswar located? India.
The city of Bhubaneswar is in China.,0,Bhubaneswar,China,India,In which country is the city of Bhubaneswar located?,In which country is the city of Bhubaneswar located? China.
The city of Ahvaz is in Iran.,1,Ahvaz,Iran,Iran,In which country is the city of Ahvaz located?,In which country is the city of Ahvaz located? Iran.
The city of Ahvaz is in China.,0,Ahvaz,China,Iran,In which country is the city of Ahvaz located?,In which country is the city of Ahvaz located? China.
The city of Kumasi is in Ghana.,1,Kumasi,Ghana,Ghana,In which country is the city of Kumasi located?,In which country is the city of Kumasi located? Ghana.
The city of Kumasi is in India.,0,Kumasi,India,Ghana,In which country is the city of Kumasi located?,In which country is the city of Kumasi located? India.
The city of Palembang is in Indonesia.,1,Palembang,Indonesia,Indonesia,In which country is the city of Palembang located?,In which country is the city of Palembang located? Indonesia.
The city of Palembang is in Brazil.,0,Palembang,Brazil,Indonesia,In which country is the city of Palembang located?,In which country is the city of Palembang located? Brazil.
The city of Novokuznetsk is in Russia.,1,Novokuznetsk,Russia,Russia,In which country is the city of Novokuznetsk located?,In which country is the city of Novokuznetsk located? Russia.
The city of Novokuznetsk is in China.,0,Novokuznetsk,China,Russia,In which country is the city of Novokuznetsk located?,In which country is the city of Novokuznetsk located? China.
The city of Izmir is in Turkey.,1,Izmir,Turkey,Turkey,In which country is the city of Izmir located?,In which country is the city of Izmir located? Turkey.
The city of Izmir is in Iran.,0,Izmir,Iran,Turkey,In which country is the city of Izmir located?,In which country is the city of Izmir located? Iran.
The city of Lahore is in Pakistan.,1,Lahore,Pakistan,Pakistan,In which country is the city of Lahore located?,In which country is the city of Lahore located? Pakistan.
The city of Lahore is in China.,0,Lahore,China,Pakistan,In which country is the city of Lahore located?,In which country is the city of Lahore located? China.
The city of Zhenjiang is in China.,1,Zhenjiang,China,China,In which country is the city of Zhenjiang located?,In which country is the city of Zhenjiang located? China.
The city of Zhenjiang is in Germany.,0,Zhenjiang,Germany,China,In which country is the city of Zhenjiang located?,In which country is the city of Zhenjiang located? Germany.
The city of Zhaotong is in China.,1,Zhaotong,China,China,In which country is the city of Zhaotong located?,In which country is the city of Zhaotong located? China.
The city of Zhaotong is in Iraq.,0,Zhaotong,Iraq,China,In which country is the city of Zhaotong located?,In which country is the city of Zhaotong located? Iraq.
The city of Weifang is in China.,1,Weifang,China,China,In which country is the city of Weifang located?,In which country is the city of Weifang located? China.
The city of Weifang is in Indonesia.,0,Weifang,Indonesia,China,In which country is the city of Weifang located?,In which country is the city of Weifang located? Indonesia.
The city of Tianjin is in China.,1,Tianjin,China,China,In which country is the city of Tianjin located?,In which country is the city of Tianjin located? China.
The city of Tianjin is in Bangladesh.,0,Tianjin,Bangladesh,China,In which country is the city of Tianjin located?,In which country is the city of Tianjin located? Bangladesh.
The city of Shaoxing is in China.,1,Shaoxing,China,China,In which country is the city of Shaoxing located?,In which country is the city of Shaoxing located? China.
The city of Shaoxing is in the Philippines.,0,Shaoxing,the Philippines,China,In which country is the city of Shaoxing located?,In which country is the city of Shaoxing located? the Philippines.
The city of Hangzhou is in China.,1,Hangzhou,China,China,In which country is the city of Hangzhou located?,In which country is the city of Hangzhou located? China.
The city of Hangzhou is in Russia.,0,Hangzhou,Russia,China,In which country is the city of Hangzhou located?,In which country is the city of Hangzhou located? Russia.
The city of Mudanjiang is in China.,1,Mudanjiang,China,China,In which country is the city of Mudanjiang located?,In which country is the city of Mudanjiang located? China.
The city of Mudanjiang is in Turkey.,0,Mudanjiang,Turkey,China,In which country is the city of Mudanjiang located?,In which country is the city of Mudanjiang located? Turkey.
The city of Anshan is in China.,1,Anshan,China,China,In which country is the city of Anshan located?,In which country is the city of Anshan located? China.
The city of Anshan is in Cameroon.,0,Anshan,Cameroon,China,In which country is the city of Anshan located?,In which country is the city of Anshan located? Cameroon.
The city of Porto Velho is in Brazil.,1,Porto Velho,Brazil,Brazil,In which country is the city of Porto Velho located?,In which country is the city of Porto Velho located? Brazil.
The city of Porto Velho is in Algeria.,0,Porto Velho,Algeria,Brazil,In which country is the city of Porto Velho located?,In which country is the city of Porto Velho located? Algeria.
The city of N'Djamena is in Chad.,1,N'Djamena,Chad,Chad,In which country is the city of N'Djamena located?,In which country is the city of N'Djamena located? Chad.
The city of N'Djamena is in China.,0,N'Djamena,China,Chad,In which country is the city of N'Djamena located?,In which country is the city of N'Djamena located? China.
The city of Kayseri is in Turkey.,1,Kayseri,Turkey,Turkey,In which country is the city of Kayseri located?,In which country is the city of Kayseri located? Turkey.
The city of Kayseri is in Iraq.,0,Kayseri,Iraq,Turkey,In which country is the city of Kayseri located?,In which country is the city of Kayseri located? Iraq.
The city of Marseille is in France.,1,Marseille,France,France,In which country is the city of Marseille located?,In which country is the city of Marseille located? France.
The city of Marseille is in Russia.,0,Marseille,Russia,France,In which country is the city of Marseille located?,In which country is the city of Marseille located? Russia.
The city of Lyon is in France.,1,Lyon,France,France,In which country is the city of Lyon located?,In which country is the city of Lyon located? France.
The city of Lyon is in Canada.,0,Lyon,Canada,France,In which country is the city of Lyon located?,In which country is the city of Lyon located? Canada.
The city of Suez is in Egypt.,1,Suez,Egypt,Egypt,In which country is the city of Suez located?,In which country is the city of Suez located? Egypt.
The city of Suez is in Brazil.,0,Suez,Brazil,Egypt,In which country is the city of Suez located?,In which country is the city of Suez located? Brazil.
The city of Giza is in Egypt.,1,Giza,Egypt,Egypt,In which country is the city of Giza located?,In which country is the city of Giza located? Egypt.
The city of Giza is in India.,0,Giza,India,Egypt,In which country is the city of Giza located?,In which country is the city of Giza located? India.
The city of Naberezhnyye Chelny is in Russia.,1,Naberezhnyye Chelny,Russia,Russia,In which country is the city of Naberezhnyye Chelny located?,In which country is the city of Naberezhnyye Chelny located? Russia.
The city of Naberezhnyye Chelny is in Brazil.,0,Naberezhnyye Chelny,Brazil,Russia,In which country is the city of Naberezhnyye Chelny located?,In which country is the city of Naberezhnyye Chelny located? Brazil.
The city of Mukalla is in Yemen.,1,Mukalla,Yemen,Yemen,In which country is the city of Mukalla located?,In which country is the city of Mukalla located? Yemen.
The city of Mukalla is in Iran.,0,Mukalla,Iran,Yemen,In which country is the city of Mukalla located?,In which country is the city of Mukalla located? Iran.
The city of Harare is in Zimbabwe.,1,Harare,Zimbabwe,Zimbabwe,In which country is the city of Harare located?,In which country is the city of Harare located? Zimbabwe.
The city of Harare is in Turkey.,0,Harare,Turkey,Zimbabwe,In which country is the city of Harare located?,In which country is the city of Harare located? Turkey.
The city of Sevastopol is in Ukraine.,1,Sevastopol,Ukraine,Ukraine,In which country is the city of Sevastopol located?,In which country is the city of Sevastopol located? Ukraine.
The city of Sevastopol is in Pakistan.,0,Sevastopol,Pakistan,Ukraine,In which country is the city of Sevastopol located?,In which country is the city of Sevastopol located? Pakistan.
The city of Lipetsk is in Russia.,1,Lipetsk,Russia,Russia,In which country is the city of Lipetsk located?,In which country is the city of Lipetsk located? Russia.
The city of Lipetsk is in China.,0,Lipetsk,China,Russia,In which country is the city of Lipetsk located?,In which country is the city of Lipetsk located? China.
The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey,In which country is the city of Istanbul located?,In which country is the city of Istanbul located? Turkey.
The city of Istanbul is in Ghana.,0,Istanbul,Ghana,Turkey,In which country is the city of Istanbul located?,In which country is the city of Istanbul located? Ghana.
The city of Callao is in Peru.,1,Callao,Peru,Peru,In which country is the city of Callao located?,In which country is the city of Callao located? Peru.
